Acc. No.,ISBN
14174,131468626
14228,131468634
12431,131475738
14169,131477498
17606,131481037
14063,131482017
13081,131485210
17193,131486837
13007,131491792
12982,131496344
14073,131547313
15903,131653164
17158,131679953
13985,131723898
11739,131774115
17197,131828290
11162,131828312
14171,131851373
14167,131855255
14068,131855875
14498,131858580
15540,131858742
13591,131862391
14263,131863665
14103,131870025
19496,131872893
9351,131900757
13318,131918354
14361,131927566
11744,132041081
6858,132113198
9942,132114674
14070,132125897
12984,132136031
11020,132193604
5523,132264161
19256,132272679
6842,132338599
3214,132346265
3215,132346265
17190,132422077
13031,132431718
19173,132433885
3844,132557460
14072,132641437
6851,132859742
9062,132859742
18644,133007081
6586,133011445
22346,133020010
25620,133148998
18620,133192865
6868,133374866
17925,133457117
11240,133459438
25426,133526585
12430,134638379
6519,134734149
11740,134843460
6517,134956729
6855,135080118
734,135289106
942,135289106
18615,135397847
5067,135653916
11035,135699630
5066,135701104
17629,135717795
17923,135945321
6723,135995728
7876,136121292
8388,136291554
24237,136370268
20652,136378439
17192,136392539
3586,136455654
6834,136743595
25396,136744095
18613,136782108
13984,136807291
10590,137101953
17613,137192878
18747,137287917
30664,137291469
8316,137479085
6460,137595158
18629,137607024
6860,138423601
11041,138562466
11639,138569231
7745,138964815
22347,138997098
18611,139067280
2140,139075518
20653,139145567
5073,139195238
6461,139279555
18619,139353224
6852,139488529
13308,139498435
1996,139601627
6853,139737510
6521,139773983
6522,139773983
6523,139773983
13140,140020845
14770,140107835
5912,140116648
14215,140120491
9221,140126783
6727,140135154
9210,140137793
474,140138358
475,140138358
476,140138358
541,140138358
559,140138358
5858,140139192
11568,140139966
5629,140145745
8285,140156151
20284,140156151
10625,140157522
7512,140157530
10626,140157557
11005,140172130
16773,140179658
14710,140187863
17842,140188592
25398,140190082
16781,140190147
15780,140190368
15761,140191801
5861,140230335
5859,140231978
28553,140231978
14781,140240659
10691,140244328
14773,140247807
19490,140247890
11186,140249214
2168,140250581
14772,140250794
16821,140259848
19634,140260064
10300,140264426
10627,140267832
5563,140268529
11909,140268774
18928,140269673
14214,140270515
18929,140272984
12068,140275657
19794,140275967
5626,140277781
14178,140278125
28899,140278125
10283,140278230
7475,140278338
5310,140282025
5520,140283781
5857,140285105
28546,140285105
13887,140286802
11908,140291776
16774,140294481
9380,140296662
14213,140299270
19797,140435980
11164,140436316
16782,140437223
16220,140440739
16780,140441212
5911,140442707
15249,140444025
14774,140444173
15774,140445404
15787,140447482
14597,140512446
14782,140620850
14783,140622454
17653,141000155
9746,141002085
17143,141005599
12744,141006854
10856,141014318
12759,141014326
17005,141018887
14490,141021136
14375,141182504
6236,141185147
17004,141186852
6230,141187123
6231,141187166
12033,142000280
15573,142002674
12245,142004464
1535,143027735
17631,143027980
14776,143028057
21482,143028154
6616,143028367
6617,143028367
6618,143028367
6619,143028367
10928,143028367
10929,143028367
10930,143028367
5807,143028553
12749,143028693
5812,143029282
5860,143029347
12747,143029401
10260,143029460
12751,143029533
17647,143029576
28566,143029576
16785,143029681
12745,143029819
10273,143029959
6768,143029967
8576,143029983
17644,143030469
12748,143030515
7255,143030558
14118,143031244
10101,143031503
11596,143031929
16777,143032038
11613,143032194
11608,143032410
12386,143032542
13434,143032623
13880,143032623
13881,143032623
14212,143032690
16060,143032771
28450,143032771
12367,143033409
21761,143039938
14953,143061828
18930,143062093
18932,143101900
17707,143103059
16512,143334999
13888,143335014
16138,143335642
16064,143335650
14778,143335669
16063,143335715
14779,143335731
15327,143335774
14777,143335782
14775,143335790
14780,143335804
13896,143335812
13658,143335847
14216,144000067
15760,144000091
16771,144000113
14084,144000148
14184,144000261
13894,144000377
14185,144000385
16786,144000458
16783,144000792
14376,144001039
12079,151008124
12918,151011400
9994,155037536
8667,155063480
18335,156011719
10392,156027607
12507,156027607
12508,156027607
18313,156106809
15976,156226006
11000,156232006
15982,156260557
15988,156439611
18316,156453800
16196,156519925
14711,156632772
15996,156695006
15997,156701537
19732,156932504
14942,192141821
1084,192800787
2022,192800787
1173,192800868
10098,192801252
5889,192802194
6389,192804049
8413,192804421
5052,192822756
1095,192831348
13892,192834231
14838,192835254
1176,192853465
5730,192853619
1763,192854054
1760,192854070
3313,192854089
10831,192854399
1641,192854577
2153,192860925
15035,192861085
1646,192861603
1151,192861891
12106,192880934
1637,192893211
11780,194230635
14267,194230635
2620,194315355
12301,194316653
14560,194370003
18871,194380734
10417,195018249
10418,195019199
17570,195042301
18833,195046722
10781,195059441
9878,195064844
22471,195069633
20562,195079515
5480,195079981
5592,195080300
11184,195092503
7149,195098234
22432,195101707
11207,195102703
6614,195103424
10442,195104161
5214,195105087
23806,195106822
2394,195107209
14930,195107209
14931,195107209
14932,195107209
14933,195107209
13760,195107233
1205,195108426
14091,195108426
9888,195108531
11674,195110048
14819,195110080
413,195110099
414,195110099
415,195110099
1161,195110099
3258,195110099
3259,195110099
3260,195110099
3261,195110099
3262,195110099
13504,195110099
1102,195110463
1648,195113950
6897,195115910
11809,195117050
6036,195117395
16986,195117778
14087,195118774
6098,195119401
10443,195120167
10554,195120183
6371,195120647
7103,195121597
5922,195121899
14316,195123549
6494,195125789
7079,195126688
5329,195127013
18327,195129113
11492,195131592
7147,195135121
7314,195135318
17165,195135784
29413,195136241
5920,195136292
6786,195136667
11187,195137000
14089,195138058
3598,195140257
14090,195141938
5987,195142497
10742,195142527
10743,195142527
10744,195142527
10745,195142527
10746,195142527
10786,195142527
10787,195142527
10788,195142527
10789,195142527
10790,195142527
5481,195143027
14115,195144368
10838,195146654
17276,195148320
10422,195148460
6785,195150015
6470,195150112
6896,195150929
3584,195151593
18925,195151984
6495,195153146
3297,195155117
16131,195155408
9876,195158172
14823,195158334
17300,195159500
6728,195160371
17850,195161149
6883,195161696
15910,195161734
10099,195161912
17168,195165128
17371,195165888
9873,195167295
11806,195167341
13763,195170148
16090,195173244
9447,195173619
23586,195174801
15091,195174836
17172,195177517
14114,195179609
23577,195202503
17757,195304128
14382,195615417
11294,195618289
14386,195620534
17559,195621697
545,195622375
546,195622375
547,195622375
556,195622375
17832,195622375
1113,195622553
9524,195622561
1651,195623592
4198,195623754
1122,195624831
10841,195627210
18844,195628578
12409,195629590
1149,195630262
14380,195630548
14389,195630564
1119,195631412
21235,195632087
11932,195632818
1649,195633369
1238,195633423
470,195633628
1242,195633644
466,195633652
21244,195633911
554,195634438
1248,195635086
5051,195635183
467,195635299
468,195635302
12414,195636961
471,195637216
13893,195638565
28804,195638565
12410,195639235
5053,195639243
13613,195639294
1196,195639375
5550,195640527
5050,195640802
5056,195641388
17552,195642279
16848,195642767
10494,195643623
10963,195643828
17565,195644158
19430,195644298
9971,195644360
16132,195644468
8243,195645723
4940,195645820
4941,195645820
1208,195646339
1215,195647343
17542,195647831
23904,195648250
18851,195648331
9968,195648358
5055,195648528
1206,195648536
15417,195648544
11827,195648749
14163,195648749
5054,195648781
17543,195648927
20306,195649206
8420,195649672
21236,195649761
10440,195649885
5048,195650395
533,195650409
553,195650409
11825,195650891
1190,195650905
1236,195651138
5988,195651154
1502,195651243
9526,195651855
538,195652428
9393,195652878
548,195653211
1132,195653750
10777,195655117
1156,195655176
9529,195655192
1214,195655265
5031,195655281
5032,195655281
5837,195655281
5838,195655281
5839,195655281
5840,195655281
14384,195656032
6568,195656113
1079,195656342
4203,195656474
25841,195656474
13237,195657004
1141,195657500
1650,195657861
10840,195657942
5049,195657977
5061,195658000
2535,195658019
2399,195658191
3064,195658353
12412,195658396
12413,195658396
12581,195658396
5063,195658647
5062,195658671
6250,195658744
3502,195658787
5047,195658906
11334,195658965
17531,195659090
8882,195659686
18065,195660366
8559,195660420
17536,195660455
10415,195660471
17560,195660625
12435,195660978
17540,195660994
5545,195661095
16713,195661176
5560,195661192
12406,195661205
12417,195661273
5562,195662512
6244,195662601
7782,195662687
14381,195662717
5561,195663128
6242,195663179
5434,195663195
3525,195663284
3641,195663446
16087,195663470
6243,195663527
5059,195663578
5058,195663586
10435,195663608
6247,195663845
4945,195664108
9513,195664124
18667,195664167
18845,195664183
9502,195664205
12582,195664469
12633,195664574
5057,195664639
11326,195664760
17537,195664779
8230,195664787
10436,195665023
11089,195665082
13764,195665295
9514,195665422
18062,195665775
18061,195666046
10437,195666054
8880,195666062
12408,195666186
7596,195666208
10438,195666224
17541,195666534
12140,195666615
9517,195666666
17545,195666690
9508,195667077
8033,195667131
12787,195667204
12580,195667255
9516,195667271
8551,195667522
11859,195667603
12418,195667700
21239,195667948
8538,195667999
11084,195668030
13006,195668049
11808,195668294
12416,195668316
11085,195668642
11861,195668650
11860,195668669
9521,195668677
25840,195668677
11086,195668693
12300,195668731
12239,195668766
17557,195668782
14088,195668839
16666,195668839
16667,195668839
9499,195668987
11905,195669401
11282,195669614
11140,195669797
11906,195669983
14390,195670159
17561,195670213
10832,195670515
11807,195670590
11129,195670647
12405,195670868
17547,195670884
12407,195671120
11448,195671368
17549,195671945
12621,195671953
11245,195672097
17534,195672135
14458,195672755
18972,195673336
12299,195674324
18852,195674456
13759,195675169
14668,195675908
14682,195676084
14901,195677285
14116,195678451
21238,195678591
14667,195679660
13699,195680014
16448,195680871
14166,195682793
17551,195684346
18919,195685121
17173,195686853
17975,195689216
18885,195689364
18868,195693221
22146,195699653
23847,198060343
12639,198167172
5590,198182627
14427,198280106
5340,198297122
5888,198297653
9693,198502311
10568,198503113
14046,198503261
21913,198503687
6391,198503946
7200,198505337
6393,198506260
6557,198506589
6370,198506937
7188,198510519
6390,198510624
20435,198514859
14127,198515448
12275,198515774
7411,198515901
11663,198519974
14423,198522193
6394,198525311
15145,198528558
10502,198530161
5428,198532873
19511,198533497
12402,198534183
6080,198534280
6938,198534469
12274,198534515
12585,198534590
6388,198534930
6083,198535481
5043,198538030
6569,198562314
6570,198562942
1109,198564538
6155,198565623
6392,198572212
14047,198572220
12411,198584091
6081,198596839
20294,198600836
10103,198602189
6739,198603843
6736,198604130
6740,198604394
14086,198604424
6737,198605056
11903,198606141
12201,198606656
13761,198606745
11907,198606753
10959,198606966
12035,198607202
3009,198612583
10102,198662610
6741,198662823
6743,198662831
6742,198662858
5076,198742428
9836,198742711
2401,198752571
3068,198774605
15045,198774966
7077,198782748
6643,198792778
9491,199107114
5345,199224226
17170,199241058
6082,199249725
10434,199250014
9219,199251967
17716,199253323
15046,199253560
20300,199255792
10501,199256985
12234,199256993
9985,199263507
17904,199264554
13891,199267189
17166,199268096
18310,199270104
11851,199275262
17370,199275580
17848,199284547
17376,199286825
5653,199637903
23792,201075865
6649,201076160
20654,201101505
17195,201105578
17196,201105578
12139,201114348
11664,201122952
14803,201122960
14802,201122979
6582,201122987
19230,201141922
7444,201308207
11550,201309556
6272,201309661
2778,201309726
2533,201309750
6267,201309769
5828,201309807
6805,201310058
10577,201310112
7297,201310139
7593,201310139
9425,201314525
9426,201314525
9427,201314525
9428,201314525
5513,201325713
5068,201325748
11746,201331403
7660,201338688
10401,201342928
12967,201343029
354,201352230
355,201352230
758,201352230
2527,201357437
2525,201357488
2782,201360683
6819,201361205
9337,201361205
9338,201361205
7747,201361868
10535,201362996
6263,201379511
6827,201380730
12617,201396076
16022,201398281
14895,201398397
3544,201398516
2741,201398567
11131,201403528
10108,201416964
2784,201422190
11798,201432870
10678,201432935
10576,201433044
5593,201433176
6864,201433176
2147,201433192
7298,201436647
7304,201436647
7305,201436647
6606,201437201
9785,201437201
6828,201441438
10399,201441438
10400,201441438
20659,201441438
3123,201444947
14407,201455765
7300,201476894
10541,201485559
10682,201485672
9431,201489171
7689,201498375
7238,201498413
7239,201498413
18797,201515067
6862,201526751
8386,201543303
8955,201548550
22349,201548879
10886,201550601
12349,201563274
10940,201575949
11749,201596245
10574,201607344
2218,201612488
2526,201612488
3049,201612518
5252,201612518
7697,201615711
2779,201616173
2342,201616351
7743,201619164
10173,201619164
19217,201622165
12382,201624273
11188,201626640
10591,201626950
10593,201627698
11745,201631814
28811,201633469
28812,201633469
28813,201633469
28814,201633469
5848,201633728
9622,201633728
9623,201633728
8389,201633856
6269,201634503
11040,201634694
2532,201648598
2255,201657899
11738,201674718
3183,201674769
12969,201675161
11167,201675196
10681,201699567
8489,201699710
9161,201700395
6271,201702096
6823,201702444
15537,201702452
6817,201702525
3060,201703092
2904,201703149
9419,201703726
6520,201704846
6814,201704854
2341,201708507
26039,201709066
6810,201709163
6822,201709694
6941,201710145
6818,201710374
6809,201711028
2095,201711613
2781,201719622
14058,201721481
12309,201721864
2984,201721872
11549,201726173
12237,201727897
6824,201729563
11742,201734850
8400,201734958
11669,201737191
11670,201737191
6804,201738295
6816,201743973
10579,201745518
11748,201745712
6806,201746220
6788,201746271
14285,201750392
14899,201750767
6807,201752808
6811,201753065
8488,201754851
13055,201754916
4668,201758210
8685,201760355
6863,201765497
2515,201765640
6808,201768100
7599,201768119
9768,201771683
6813,201771861
10884,201774224
6820,201775808
6812,201784726
6821,201787903
10542,201788977
26042,201788985
9390,201798050
9041,201799375
9562,201799405
13311,201845202
12727,201853922
12728,201853930
23675,201853949
12968,201876981
2981,201877589
9033,201883368
11735,201895021
10575,201895277
6585,201895862
6815,201914662
9962,201924781
3152,201964252
11732,201964252
27195,201964260
13141,202011909
22342,205198872
10692,205313426
13005,205315194
10869,224044478
15458,224060872
14605,224064738
12465,224069179
10835,224072781
11810,224072943
14816,226009254
18315,226025985
5501,226037312
14817,226041964
14814,226042006
12200,226042057
11091,226046117
15430,226059782
12512,226060977
16344,226064530
16345,226064530
19900,226065588
12199,226076229
11679,226090930
25974,226095355
14345,226100871
14341,226111016
11216,226113787
18314,226139484
15419,226147630
19850,226152375
15429,226167682
15258,226167720
11812,226181502
22258,226194558
6380,226251381
22217,226252507
13061,226262138
5500,226268969
15418,226302318
11978,226305090
14299,226307670
14293,226307786
14296,226307808
14297,226307816
14298,226307824
14301,226307867
14300,226307921
14294,226307948
19884,226340457
19885,226340481
12916,226359344
15428,226359948
25014,226440737
16678,226457990
19883,226467309
19784,226467317
19882,226467325
19785,226467333
19786,226467341
19849,226467651
19787,226467678
19788,226467686
15421,226467759
14357,226469409
14295,226469441
15260,226470857
6940,226473201
5529,226473244
10721,226474844
2925,226474933
16712,226482022
11648,226497240
12393,226526313
23130,226532399
11452,226534855
18638,226618471
15410,226618501
15412,226618579
23131,226629767
19886,226649105
23132,226672883
16264,226672905
12568,226711242
16343,226713423
5625,226725693
10133,226730999
25001,226763609
22224,226763870
23136,226790045
23135,226790134
23134,226790142
16340,226791572
11100,226816273
23128,226846474
16338,226846628
14342,226846636
14343,226846644
14344,226846652
23137,226870332
14340,226870553
14815,226890562
10213,226899152
10995,231056699
16992,231075650
8762,231105118
18576,231106084
21267,231110979
5924,231116284
18556,231130899
5606,240513231
12510,240514378
5605,240516648
16237,240516664
5599,240516710
5603,240517024
12790,240517148
5600,240519183
17141,240520203
12791,240802756
12151,240805003
10055,240805860
15153,240807227
5491,252006356
12965,252012496
19557,252072367
13400,253350042
6146,256133611
4720,256174040
20190,256261156
6547,262011972
10768,262012103
12119,262012111
22898,262022753
11522,262024055
10680,262024179
8266,262025108
10870,262025485
17287,262025590
15147,262025892
6652,262032287
25801,262032635
6954,262032708
7468,262033038
9774,262033143
18459,262033321
14014,262033364
14489,262033453
5269,262040611
23062,262041782
10985,262042193
18460,262042320
7669,262061589
7464,262062208
7463,262062321
10767,262062410
13320,262062461
13314,262072602
13248,262072610
13620,262081598
9926,262082306
15890,262083051
10109,262083205
12121,262083310
6539,262100665
23826,262101149
22511,262111217
27264,262111705
9220,262111934
6542,262112558
7203,262112663
22849,262120259
5173,262122383
23825,262122553
7708,262122561
10132,262122634
12123,262122715
17233,262122804
14379,262122812
6653,262133415
6535,262133601
2815,262133741
15268,262133867
6537,262133962
6196,262134098
18689,262134365
11357,262134470
9920,262140535
13249,262140748
22988,262140861
11792,262151073
11069,262151111
22991,262161680
5176,262161745
5656,262162016
14045,262162180
5174,262182017
6060,262182173
10326,262182351
18684,262182408
12118,262182424
17295,262194678
6554,262194899
13082,262195240
14488,262195313
13715,262195364
19919,262201526
7466,262220555
5175,262220644
10307,262220695
11355,262220725
13710,262220776
7205,262231832
7206,262231832
23099,262232138
6579,262232243
11348,262232383
14378,262232421
5743,262510804
25430,262520761
6556,262521822
6202,262521938
10775,262522128
6057,262522330
11499,262522616
14336,262523868
6240,262531070
6241,262531682
2189,262540568
6207,262540738
22182,262540983
22179,262550423
15594,262560038
11652,262560925
10241,262561190
10242,262561204
2092,262561417
10110,262562006
18606,262562146
6540,262571323
6541,262571331
19355,262572192
12122,262581086
15887,262581485
15888,262581493
15889,262581507
14377,262581558
5493,262582155
14370,262600323
6544,262600420
12111,262600595
12294,262612038
7467,262621037
7202,262621126
5869,262621312
18463,262621983
7423,262631431
18544,262631660
6543,262632217
18465,262633108
18466,262633299
6085,262650428
6086,262650436
6084,262650444
6536,262650606
23789,262660563
11797,262660717
9434,262661160
6538,262661276
13083,262661373
17232,262670011
11497,262680823
11968,262691310
11198,262691639
7458,262691671
12494,262691914
4992,262692112
6546,262692740
9797,262692929
10858,262692937
13145,262693143
12117,262693178
17500,262693259
18470,262693267
14104,262701146
25719,262710080
13232,262720108
5266,262730472
11199,262731037
12730,262731118
17289,262731274
9150,262731304
25429,268010099
10726,271009101
11721,271022884
29359,271048913
10738,273625918
26041,273643525
25404,275926664
18639,275969762
10135,292747144
23844,292783760
9152,297843052
11618,297848216
24994,299006859
6317,300018460
23858,300051255
9135,300078463
6573,300080115
14019,300087063
22268,300107773
20175,306441314
7407,306447908
7192,306462176
27721,306464594
12547,306466880
10753,306474298
15873,306474298
12817,306481898
10905,306481901
14156,306486164
14175,307275639
25403,309048869
18874,309055849
10433,309089085
18646,312004885
18105,312025599
11555,312060092
11557,312094248
11709,312110855
9714,312157037
12492,312169493
14904,312203187
12764,312203268
18307,312203853
11556,312204450
10006,312221770
14724,312224435
16203,312247389
10993,312262752
9716,312274785
12116,312278497
9717,312288794
5973,312289774
22375,312293097
11610,312324782
11715,312381859
12099,312420218
12089,312421001
10648,312421435
12081,312421818
11161,312421877
12037,312422199
10390,312852363
10361,312852533
18306,312856849
20554,312860986
18303,312862075
10333,312863551
16599,312864841
20553,312865848
10374,312866151
10350,312869924
20638,312890133
10369,312890176
20644,312890389
9204,313313458
11884,313316589
12457,316001058
10430,316084603
12264,316110191
11615,316548189
10420,316679070
13977,316730270
26083,316766941
11690,316769487
28549,316769487
16180,316769495
17844,316954993
6826,321079124
14833,321112296
12876,321112520
11750,321113551
12970,321117891
10534,321126971
12611,321127005
14057,321133544
7597,321149459
8973,321149459
8974,321149459
8975,321149459
8976,321149459
8977,321149459
8978,321149459
8979,321149459
8980,321149459
13585,321149459
10236,321154223
8401,321160770
11542,321166469
7973,321168828
8487,321173481
9982,321173856
11383,321173864
11033,321174038
12131,321180860
11657,321185773
7776,321185781
10536,321193660
8371,321197186
11034,321197674
10014,321197860
9029,321197887
8403,321200683
12879,321202171
10564,321205219
13051,321213513
17430,321218736
10543,321219775
12185,321223721
12306,321223918
15111,321227239
12307,321228103
12303,321228359
8399,321228391
12997,321228472
12129,321237714
14347,321238087
11878,321246241
12783,321246268
12782,321246748
15109,321246780
11039,321246942
11751,321247442
15143,321263332
12734,321267516
17322,321267974
12310,321269314
16021,321288157
13690,321290933
14054,321294319
12305,321303636
14371,321306775
16228,321321367
14056,321322215
14053,321334876
13698,321335597
23676,321335708
14055,321335724
15496,321349601
14052,321349806
14558,321349962
17718,321375254
16363,321375262
17464,321385551
19278,321399838
15497,321410130
18600,321429192
17571,321440307
19084,321442598
23405,321480910
15210,321491718
23672,321534964
23673,321580508
5689,324021224
5090,324023936
5691,324041632
1880,324066503
5681,324068980
11703,324074735
7125,324130953
5762,330287486
11886,330302620
11781,330316117
28459,330316117
11127,330320904
11124,330320912
11126,330331868
5769,330344757
5764,330347861
6628,330412051
18907,330420232
14124,330439103
14438,330439529
14602,330440055
13978,330481703
11251,330485202
5916,330491164
17096,333555562
18880,333617924
18875,333691539
24988,333753283
13058,333760581
5873,333794443
17026,333801237
10765,333802888
18453,333900049
19210,333900057
18451,333900103
17508,333900251
23489,333903498
18452,333903560
5706,333914546
13965,333921615
10506,333930819
14180,333935756
30126,333936000
8019,333937856
3011,333945743
12358,333964306
5311,333971434
25500,333981111
25415,335090028
11087,335197442
17632,335199135
15986,335214282
15987,335219683
11022,340382635
11713,340404191
6264,340543779
10776,340719044
12816,340764252
6764,340802421
9973,340806885
9967,340807652
9835,340808292
14595,340812575
5788,340822392
14366,340834951
6767,340849428
6765,340849657
6766,340850590
20647,345320654
10357,345323440
10388,345330145
10387,345331389
10336,345333926
10367,345334302
10355,345342968
10358,345346904
10348,345347951
18295,345368096
12456,345379187
10708,345395379
10344,345419677
10386,345440919
10424,345450671
20251,345452380
9216,345452488
20643,345459407
13180,349104522
15328,349117071
22135,374228949
11676,374252912
12095,374516332
12092,374520550
10717,374521395
35170,374521395
10720,374521603
10719,374521611
10718,374522073
12085,374522839
12103,374523827
12094,374525099
12097,374525552
12872,374525692
12036,374527202
12093,374528306
12083,374528381
12100,374528594
11718,374528888
10448,374529353
11716,374529353
14745,375413170
18347,375413928
14113,375421688
12086,375701168
10363,375703713
13132,375705449
10376,375705457
20874,375706399
12087,375708111
11685,375709827
13330,375713425
9730,375713913
22518,375718982
13131,375719296
16218,375719296
18083,375724508
12090,375726063
6135,375726276
26121,375726446
16181,375753168
17721,375757333
18108,375758283
10360,380014033
12049,380014033
12050,380014033
10394,380633132
14268,380633132
14269,380633132
11682,380790521
14503,382399552
16221,385029306
16223,385030096
15484,385036434
16219,385065396
18651,385196539
13329,385199732
12765,385243944
17843,385333218
10389,385333498
11185,385473400
18095,385474180
9194,385509618
14980,385512074
11691,385513224
28452,385513224
6625,385720157
7167,387001638
10061,387001751
6341,387002154
8850,387004246
19050,387004254
8993,387005005
10902,387007512
8047,387008349
9153,387008365
11701,387026207
12553,387201092
9312,387201696
12137,387203265
11510,387205713
16888,387207333
15205,387209530
12548,387210172
11505,387211543
10911,387211551
11956,387212396
15206,387212841
14531,387214283
12845,387220259
14152,387220267
25996,387221824
13954,387221964
12501,387226818
16879,387227822
14513,387227849
12844,387228330
13750,387228578
12842,387229507
12214,387229787
14538,387230424
